WARN  | 01-07-2019 | 14:31:56 | com.epam.igorpystovit.Application -> 'warnLog'  
ERROR | 04-07-2019 | 22:37:42 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:39:42 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:40:03 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:43:02 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:43:09 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:43:18 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:44:05 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:44:05 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:44:28 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:44:28 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:44:36 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
ERROR | 04-07-2019 | 22:44:36 | com.epam.igorpystovit.DAOPattern.daointerface.GeneralDAO -> 'You are trying to insert duplicate row'  
